species,common_name,location_Andy,year_Andy,location_Juniper,year_Juniper,soon_Juniper
Ambystoma laterale,Blue-Spotted Salamander,"Mauston, WI",2009,,,
Ambystoma tigrinum,Eastern Tiger Salamander,"Roberts, WI",2009,,,x
Plethodon cinereus,Red-backed Salamander,"Grand Marais, MN",2009,,,x
Eurycea longicauda,Long-tailed Salamander,"Yellowwood SF, IN",2010,,,
Eurycea lucifuga,Cave Salamander,"Pigeon Mtn, GA",2010,,,
Eurycea wilderae,Blue Ridge Two-lined Salamander,"Blue Ridge Mtns, NC",2010,,,
Gyrinophilus porphyriticus,Spring Salamander,"Macon County, NC",2010,,,
Pseudotriton ruber schencki,Blackchin Red Salamander,"Macon County, NC",2010,,,
Aneides aeneus,Green Salamander,"Highlands, NC",2010,,,
Desmognathus aeneus,Seepage Salamander,"Macon County, NC",2010,,,
Desmognathus aureatus,Golden Shovel-nosed Salamander,,2010,,,
Desmognathus carolinensis,Carolina Mountain Dusky Salamander,"Yancey County, NC",2010,,,
Desmognathus conanti,Spotted Dusky Salamander,"Pigeon Mtn, GA",2010,,,
Desmognathus imitator,Imitator Salamander,"GSMNP, NC/TN",2010,,,
Desmognathus intermedius,Shovel-nosed Salamander,"Macon County, NC",2010,,,
Desmognathus cheaha,Seal Salamander,"Yancey County, NC",2010,,,
Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,"Bedford County, NC",2010,,,
Desmognathus ocoee 'F/G/H' & 'E',Ocoee Salamander,"Macon County, NC",2010,,,
Desmognathus adatsihi,,"GSMNP, NC/TN",2010,,,
Desmognathus perlapsus,Ocoee Salamander,"Highlands, NC",2010,,,
Desmognathus organi,Northern Pygmy Salamander,"Mt. Mitchell, NC",2010,,,
Desmognathus amphileucas,Nantahala black-bellied salamander,Western NC,2010,,,
Desmognathus gvnigeusgwotli,Cherokee black-bellied salamander,Western NC,2010,,,
Desmognathus santeetlah,Santeetlah Dusky Salamander,"Graham County, NC",2010,,,
Desmognathus wrighti,Pygmy Salamander,"Sevier County, TN",2010,,,
Plethodon albagula,Western Slimy Salamander,"Victoria Glades C.A., MO",2010,"Ouachita NF, AR",2022,
Plethodon aureolus,Tellico Salamander,"Hooper Bald, NC",2010,,,
Plethodon cheoah,Cheoah Bald Salamander,"Cheoah Bald, NC",2010,,,
Plethodon cylindraceus,White-spotted Slimy Salamander,"Yancey County, NC",2010,,,
Plethodon dorsalis,Northern Zigzag Salamander,"Brown County State Park, IN",2010,,,
Plethodon glutinosus,Slimy Salamander,"Elk State Park, PA",2010,,,
Plethodon hubrichti,Peaks of Otter Salamander,"Bedford County, NC",2010,,,
Plethodon jordani,Red-cheeked Salamander,"SMNP, NC/TN",2010,,,
Plethodon metcalfi,Southern Grey-cheeked Salamander,"Highlands, NC",2010,,,
Plethodon montanus,Northern Grey-cheeked Salamander,"Yancey County, NC",2010,,,
Plethodon petraeus,Pigeon Mtn. Salamander,"Pigeon Mtn, GA",2010,,,
Plethodon serratus,Southern Red-backed Salamander,"Graham County, NC",2010,"Ouachita NF, AR",2022,
Plethodon shenandoah,Shenandoah Salamander,"Page County, VA",2010,,,
Plethodon shermani,Red-legged Salamander,"Macon County, NC",2010,,,
Plethodon teyahalee,Southern Appalachian Salamander,"Graham County, NC",2010,,,
Notophthalmus viridescens,Red-Spotted Newt,"Fisk Meadows, MA",2010,,,
Ambystoma maculatum,Spotted Salamander,"Fisk Meadows, MA",2011,,,
Eurycea bislineata,Northern Two-lined Salamander,"Hampshire County, MA",2011,,,
Hemidactylium scutatum,Four-toed Salamander,"Hampshire County, MA",2011,,,
Desmognathus fuscus 'B',Northern Dusky Salamander,"Hampshire County, MA",2011,,,
Plethodon virginia,Shenandoah Mountain Salamander,"Pendleton County, WV",2011,,,
Bolitoglossa striatula,Cukra Climbing Salamander,"El Zota, Costa Rica",2012,,,
